date,num_adbit,num_httpsrr,adbit_perc
2025-02-16,9691,255037,3.7998408074122567
2025-02-17,9688,255683,3.7890669305350753
2025-02-18,9689,255890,3.7863925905662574
2025-02-19,9715,248178,3.914529087993294
2025-02-20,9719,245191,3.963848591506212
2025-02-21,9712,245424,3.957233196427406
2025-02-22,9714,245844,3.951286181480938
2025-02-23,9702,245842,3.946437142554973
2025-02-24,9692,245811,3.9428666739893643
2025-02-25,9678,246025,3.933746570470479
2025-02-26,9664,246136,3.926284655637532
2025-02-27,0,0,0.0
2025-02-28,9653,245669,3.929270685353055
2025-03-01,9637,245726,3.921847911901873
2025-03-02,9633,245628,3.9217841614148212
2025-03-03,0,0,0.0
2025-03-04,9613,246256,3.903661230589304
2025-03-05,9600,247205,3.8834165975607275
2025-03-06,9571,254408,3.762067230590232
2025-03-07,9572,254624,3.7592685685559872
2025-03-08,9548,253549,3.765741533194766
2025-03-09,9547,253285,3.769271768955918
2025-03-10,9543,253203,3.7689126906079298
2025-03-11,9535,252466,3.7767461757226704
2025-03-12,9535,252466,3.7767461757226704
2025-03-13,9517,253135,3.7596539395974466
2025-03-14,0,0,0.0
2025-03-15,9493,254048,3.736695427635721
2025-03-16,9482,254052,3.732306771841984
2025-03-17,9477,254609,3.7221779277244704
2025-03-18,9479,255021,3.7169488002948765
2025-03-19,0,0,0.0
2025-03-20,9504,246696,3.8525148360735466
2025-03-21,9486,246861,3.84264829195377
2025-03-22,0,0,0.0
2025-03-23,9477,246926,3.8379919490049637
2025-03-24,9474,247129,3.833625353560285
2025-03-25,9469,247606,3.824220737785028
2025-03-26,9453,246635,3.832789344578019
2025-03-27,9447,246965,3.8252383941044266
2025-03-28,9430,247630,3.8081007955417343
2025-03-29,9425,247489,3.8082500636391905
2025-03-30,9424,247744,3.803926633944716
2025-03-31,9423,248001,3.7995814533005903
2025-04-01,9407,247996,3.7932063420377733
2025-04-02,9390,249325,3.7661686553694964
2025-04-03,9361,253907,3.6867829559641905
2025-04-04,9353,253785,3.6854029986011767
2025-04-05,9351,253186,3.6933321747647962
2025-04-06,9359,253097,3.697791755730015
2025-04-07,9352,252746,3.7001574703457214
2025-04-08,9355,252177,3.7096959675148793
2025-04-09,9347,252746,3.6981791996708147
2025-04-10,9352,252129,3.709212347647433
2025-04-11,9342,253039,3.6919210082240275
2025-04-12,9336,252921,3.691271187445881
2025-04-13,9336,253232,3.68673785303595
2025-04-14,9335,252979,3.6900296072005965
2025-04-15,9336,253088,3.6888355038563647
2025-04-16,9326,247785,3.7637467966180345
2025-04-17,9322,248001,3.7588558110652768
2025-04-18,9314,245638,3.7917586041247677
2025-04-19,9314,245638,3.7917586041247677
2025-04-20,9314,245638,3.7917586041247677
2025-04-21,9314,245638,3.7917586041247677
2025-04-22,9284,244865,3.791476936271005
2025-04-23,9278,244416,3.795987169416076
2025-04-24,9269,244980,3.783574169319943
2025-04-25,9250,245904,3.7616305550133373
2025-04-26,9225,245851,3.752272718028398
2025-04-27,9219,246069,3.746510125208782
2025-04-28,9212,246341,3.7395317872380143
2025-04-29,9209,247076,3.7271932522786497
2025-04-30,9204,246970,3.7267684334129636
2025-05-01,9173,254325,3.6068023198663117
2025-05-02,9154,254743,3.593425530829109
2025-05-03,9154,253702,3.6081702154496207
2025-05-04,9156,254096,3.603362508658144
2025-05-05,9153,254161,3.601260618269521
2025-05-06,9152,253858,3.6051650922956915
2025-05-07,9156,254015,3.604511544593822
2025-05-08,9156,253701,3.6089727671550356
2025-05-09,9155,254072,3.6033092981517036
2025-05-10,9153,254342,3.598697816326048
2025-05-11,9155,254934,3.591125546219805
2025-05-12,9151,255340,3.5838489856661693
2025-05-13,9150,255346,3.5833731485905385
2025-05-14,9161,256030,3.578096316837869
2025-05-15,9160,256683,3.5686040758445228
2025-05-16,9148,257850,3.547799108008531
2025-05-17,9145,258075,3.5435435435435423
2025-05-18,9144,258627,3.5355937315129498
2025-05-19,9145,259495,3.524152681169193
2025-05-20,9146,259955,3.5183012444461528
2025-05-21,9157,253718,3.609125091637171
2025-05-22,9156,252404,3.627517788941537
2025-05-23,9154,252689,3.6226349386004126
2025-05-24,9142,253142,3.6114117767893106
2025-05-25,9137,253207,3.608510033292917
2025-05-26,9139,254017,3.5977906990477004
2025-05-27,9137,254162,3.594951251563962
2025-05-28,9134,254346,3.59117108191204
2025-05-29,9130,254575,3.586369439261513
2025-05-30,9123,256131,3.561849209974582
2025-05-31,9118,256058,3.560911980879331
2025-06-01,9127,255566,3.571288825587127
2025-06-02,9117,256247,3.5578953119451144
2025-06-03,9112,256000,3.559374999999999
2025-06-04,9108,256383,3.5524976304981206
2025-06-05,9110,256414,3.552848128417324
2025-06-06,9068,257547,3.520910746388037
2025-06-07,9067,257487,3.5213428250746626
2025-06-08,9066,257532,3.5203392199804284
2025-06-09,9003,262970,3.4235844392896513
2025-06-10,8988,264934,3.39254304845735
2025-06-11,8971,266325,3.3684408147939533
2025-06-12,8973,266668,3.36485817570912
2025-06-13,8955,266957,3.354472817719706
2025-06-14,8947,267174,3.348753995523515
2025-06-15,8929,267270,3.3408164028884633
2025-06-16,8929,267270,3.3408164028884633
2025-06-17,8929,267270,3.3408164028884633
2025-06-18,8922,264416,3.3742284884424527
2025-06-19,8914,265812,3.353497960964891
2025-06-20,8904,266932,3.335680997407578
2025-06-21,8896,265190,3.3545759644028794
2025-06-22,8887,266894,3.3297863571305446
2025-06-23,8895,264868,3.358276575501758
2025-06-24,8896,263095,3.3812881278625575
2025-06-25,8891,263064,3.3797859076118346
2025-06-26,8891,262553,3.3863638960514626
2025-06-27,8855,262783,3.369700475297107
2025-06-28,8853,262512,3.3724172609252134
2025-06-29,8847,262821,3.366169370027508
2025-06-30,8838,263020,3.3602007451904785
2025-07-01,8831,263861,3.346837918449485
2025-07-02,8827,263381,3.351418667253901
2025-07-03,8757,272479,3.2138256526190996
2025-07-04,8751,273573,3.1987805814170245
2025-07-05,8751,274324,3.1900234758898223
2025-07-06,8741,273547,3.1954289390854207
2025-07-07,8734,273662,3.1915282355606536
2025-07-08,8730,273887,3.1874459174769143
2025-07-09,8701,273992,3.1756401646763397
2025-07-10,8706,275991,3.1544506886094097
2025-07-11,8684,276443,3.1413347417008195
2025-07-12,8673,276700,3.1344416335381267
2025-07-13,8662,277484,3.1216214268210045
2025-07-14,8662,276288,3.1351343525596467
2025-07-15,8662,276288,3.1351343525596467
2025-07-16,8662,276288,3.1351343525596467
2025-07-17,8662,276288,3.1351343525596467
2025-07-18,8662,276288,3.1351343525596467
2025-07-19,8662,276288,3.1351343525596467
2025-07-20,8662,276288,3.1351343525596467
2025-07-21,8662,276288,3.1351343525596467
2025-07-22,8656,267249,3.238926993178645
2025-07-23,8644,267621,3.2299408491859745
2025-07-24,8615,268229,3.21180782092913
2025-07-25,8603,268443,3.2047771780228937
2025-07-26,8601,268505,3.2032923036814944
2025-07-27,8602,268469,3.2040943274642495
2025-07-28,8601,269132,3.195829555757025
2025-07-29,8602,270116,3.184557745561165
2025-07-30,8548,278803,3.0659641395537336
