date,num_rrsig,num_httpsrr,rrsig_perc
2024-07-02,10768,84513,12.741235076260441
2024-07-03,10752,84228,12.765351189628136
2024-07-04,10755,84138,12.782571489695485
2024-07-05,10746,84186,12.764592687620254
2024-07-06,10701,83438,12.825091684843821
2024-07-07,10666,82748,12.889737516314577
2024-07-08,10670,82721,12.898780237182804
2024-07-09,10686,82842,12.899254001593379
2024-07-10,10686,82732,12.916404776869877
2024-07-11,10682,82735,12.911101710279793
2024-07-12,10701,82771,12.928441120682349
2024-07-13,10705,82724,12.940621826797528
2024-07-14,10727,82949,12.932042580380699
2024-07-15,10800,84099,12.842007633860078
2024-07-16,10811,84085,12.857227805197107
2024-07-17,10820,84140,12.859519847872578
2024-07-18,10833,84128,12.876806770635207
2024-07-19,10855,84355,12.86823543358424
2024-07-20,10881,84874,12.820180502863053
2024-07-21,10880,84899,12.815227505624314
2024-07-22,10874,84857,12.814499687709896
2024-07-23,10884,84885,12.822053366319123
2024-07-24,10894,84927,12.827487136010912
2024-07-25,10898,84937,12.83068627335553
2024-07-26,10904,84924,12.83971551033864
2024-07-27,10927,84964,12.860741019725987
2024-07-28,10874,84171,12.918938826911866
2024-07-29,10874,84082,12.932613401203572
2024-07-30,10870,84079,12.92831741576373
2024-07-31,10868,84109,12.921328276403223
2024-08-01,10861,84084,12.916845059702187
2024-08-02,10878,84212,12.917398945518437
2024-08-03,10816,83208,12.998750120180736
2024-08-04,10818,83263,12.992565725472282
2024-08-05,10819,83277,12.991582309641302
2024-08-06,10820,83321,12.985921916443617
2024-08-07,10837,83399,12.994160601446044
2024-08-08,10844,83410,13.000839227910307
2024-08-09,10853,83457,13.004301616401245
2024-08-10,10862,83520,13.0052681992337
2024-08-11,10866,83574,13.001651231244152
2024-08-12,10878,83667,13.001541826526571
2024-08-13,10894,83895,12.985279218070191
2024-08-14,10892,83891,12.983514322156115
2024-08-15,10917,83915,13.009593040576759
2024-08-16,10914,83962,12.998737524118038
2024-08-17,10931,84007,13.012010903853234
2024-08-18,10943,84124,13.008178403309385
2024-08-19,11017,84914,12.974303412864765
2024-08-20,11077,85606,12.939513585496329
2024-08-21,11088,85761,12.928953720222463
2024-08-22,11091,85830,12.922055225445632
2024-08-23,11128,85910,12.953090443487355
2024-08-24,11130,86101,12.926679132646528
2024-08-25,11184,86832,12.88004422332779
2024-08-26,11187,86917,12.87089982396998
2024-08-27,11189,86997,12.861363035506956
2024-08-28,11203,87053,12.869171654049817
2024-08-29,11214,87161,12.86584596321748
2024-08-30,11216,87155,12.8690264471344
2024-08-31,11211,87194,12.857536068995557
2024-09-01,11188,86595,12.919914544719656
2024-09-02,11187,86602,12.917715526200304
2024-09-03,11170,86511,12.91165285339435
2024-09-04,11028,84595,13.036231455759781
2024-09-05,11041,84595,13.051598794254964
2024-09-06,11005,84014,13.099007308305742
2024-09-07,10977,83599,13.130539838993274
2024-09-08,10977,83598,13.130696906624545
2024-09-09,10982,83670,13.125373491095957
2024-09-10,10988,83775,13.116084750820635
2024-09-11,10985,83770,13.113286379372074
2024-09-12,10992,83777,13.120546211967469
2024-09-13,10995,83880,13.108011444921301
2024-09-14,11010,83949,13.115105599828452
2024-09-15,11005,83928,13.112429701649017
2024-09-16,11041,84534,13.061016868952121
2024-09-17,11074,85015,13.025936599423616
2024-09-18,11072,85022,13.02251182046998
2024-09-19,11075,85037,13.023742606159656
2024-09-20,11093,85090,13.036784581031833
