date,num_rrsig,num_httpsrr,rrsig_perc
2024-07-04,17697,93454,18.936589124061015
2024-07-05,17686,93503,18.914901126167056
2024-07-06,17605,92681,18.99526332257958
2024-07-07,17543,91949,19.079054693362604
2024-07-08,17566,91948,19.1042763300996
2024-07-09,17582,92083,19.09364377789601
2024-07-10,17588,91984,19.12071664637326
2024-07-11,17592,91993,19.123194156077073
2024-07-12,17606,92037,19.129263231091823
2024-07-13,17612,91984,19.14680814054616
2024-07-14,17653,92250,19.136043360433582
2024-07-15,17800,93562,19.024817767897204
2024-07-16,17808,93557,19.034385454856377
2024-07-17,17819,93641,19.029057784517445
2024-07-18,17847,93668,19.053465431097045
2024-07-19,17878,93915,19.036362668370316
2024-07-20,17926,94500,18.96931216931215
2024-07-21,17910,94524,18.94756887139772
2024-07-22,17906,94479,18.952359783655606
2024-07-23,17904,94512,18.94362620619602
2024-07-24,17932,94585,18.958608658878237
2024-07-25,17937,94609,18.959084230887104
2024-07-26,17948,94624,18.96770375380451
2024-07-27,17945,94616,18.96613680561425
2024-07-28,17874,93784,19.05868804913416
2024-07-29,17867,93682,19.07196686663391
2024-07-30,17858,93670,19.064801964342884
2024-07-31,17856,93714,19.05371662718482
2024-08-01,17853,93700,19.053361792956224
2024-08-02,17868,93834,19.042138244133238
2024-08-03,17781,92759,19.16902942032577
2024-08-04,17773,92846,19.142450940266656
2024-08-05,17777,92834,19.14923411681063
2024-08-06,17783,92901,19.141882218705913
2024-08-07,17802,92983,19.145435187077187
2024-08-08,17808,93031,19.14200642796485
2024-08-09,17791,93051,19.11962257256771
2024-08-10,17806,93135,19.11848392118965
2024-08-11,17815,93196,19.115627280140757
2024-08-12,17824,93290,19.10601350627075
2024-08-13,17847,93568,19.073828659370704
2024-08-14,17835,93563,19.0620223806419
2024-08-15,17850,93592,19.072142918198114
2024-08-16,17864,93655,19.074261918744305
2024-08-17,17882,93734,19.077389207758102
2024-08-18,17902,93872,19.07064939492072
2024-08-19,18010,94738,19.01032320716078
2024-08-20,18104,95473,18.962429168455984
2024-08-21,18126,95653,18.949745434016688
2024-08-22,18129,95742,18.935263520711892
2024-08-23,18174,95844,18.962063352948523
2024-08-24,18189,96056,18.935829099691826
2024-08-25,18274,96866,18.865236512295315
2024-08-26,18273,96937,18.85038736498961
2024-08-27,18287,97035,18.845777296851633
2024-08-28,18295,97096,18.842176814698835
2024-08-29,18305,97239,18.824751385760838
2024-08-30,18310,97244,18.82892517790299
2024-08-31,18316,97290,18.82618974200841
2024-09-01,18272,96655,18.90435052506335
2024-09-02,18270,96644,18.904432763544534
2024-09-03,18273,96473,18.941050863972283
2024-09-04,18194,94348,19.283927587230234
2024-09-05,18214,94367,19.301238780505876
2024-09-06,18141,93707,19.359279456177212
2024-09-07,18088,93257,19.39586304513332
2024-09-08,18090,93270,19.39530395625601
2024-09-09,18089,93325,19.38280203589604
2024-09-10,18108,93455,19.376170349365985
2024-09-11,18099,93450,19.367576243980718
2024-09-12,18110,93453,19.3787251345596
2024-09-13,18138,93598,19.378619201264964
2024-09-14,18149,93674,19.3746397079232
2024-09-15,18139,93663,19.366238536028078
2024-09-16,18219,94318,19.31656735723826
2024-09-17,18269,94839,19.26317232362212
2024-09-18,18267,94867,19.255378582647264
2024-09-19,18286,94905,19.267688741372933
2024-09-20,18316,94973,19.285481136744107
2024-09-21,18350,95330,19.248924787579966
2024-09-22,18381,95826,19.18164172562768
2024-09-23,18379,95817,19.181356126783328
2024-09-24,18390,95900,19.176225234619373
2024-09-25,18396,95898,19.18288181192515
2024-09-26,18401,95870,19.193699801814937
2024-09-27,18409,95898,19.196437881916182
2024-09-28,18419,95893,19.207867101873944
2024-09-29,18382,95506,19.2469583062844
2024-09-30,18349,95206,19.27294498245907
2024-10-01,18342,95204,19.265997227007247
2024-10-02,18335,95093,19.281124793623064
2024-10-03,18340,95129,19.2790841909407
2024-10-04,18299,94530,19.357875806622214
2024-10-05,18263,94213,19.384798276246357
2024-10-06,18258,94207,19.380725423800758
2024-10-07,18268,94222,19.38825327418223
2024-10-08,18279,94297,19.384497916158498
2024-10-09,18299,94257,19.41394273104383
2024-10-10,18303,94247,19.420246798306557
2024-10-11,18302,94219,19.424956749700147
2024-10-12,18314,94199,19.441819976857484
2024-10-13,18320,94169,19.454385201074643
2024-10-14,18353,94414,19.438854407185353
2024-10-15,18443,95301,19.352367761093777
2024-10-16,18444,95295,19.354635605225855
2024-10-17,18470,95363,19.36809873850443
2024-10-18,18485,95423,19.371639961015667
2024-10-19,18483,95461,19.361833628392727
2024-10-20,18555,96133,19.30138454016829
2024-10-21,18572,96224,19.30079813767873
2024-10-22,18585,96261,19.306884408015687
2024-10-23,18577,96190,19.31281838028899
2024-10-24,18566,96169,19.305597437843776
2024-10-25,18574,96175,19.3127112035352
2024-10-26,18543,95935,19.328712148850762
2024-10-27,18492,95472,19.36902966314729
2024-10-28,18488,95378,19.383925014154187
2024-10-29,18494,95380,19.38980918431535
2024-10-30,18494,95277,19.41077070016896
2024-10-31,18498,95278,19.414765213375574
2024-11-01,18389,94248,19.51128936423052
2024-11-02,18402,94350,19.50397456279807
2024-11-03,18396,94339,19.499888699265394
2024-11-04,18388,94288,19.50195146784318
2024-11-05,18387,94345,19.489109120780096
2024-11-06,18394,94217,19.52301601621786
2024-11-07,18400,94155,19.542244171844278
2024-11-08,18397,94078,19.555050064839794
2024-11-09,18407,94062,19.56900767578829
2024-11-10,18399,94034,19.566327073186272
2024-11-11,18369,93874,19.56771843108846
2024-11-12,18373,93888,19.569061008861603
2024-11-13,18355,93829,19.56218226774236
2024-11-14,18372,93762,19.594291930632856
2024-11-15,18361,93743,19.586529127508165
2024-11-16,18349,93675,19.587937016279668
2024-11-17,18343,93573,19.602876898250543
2024-11-18,18333,93386,19.63142226886255
2024-11-19,18436,94117,19.588384670144585
2024-11-20,18458,94294,19.574946444100345
2024-11-21,18473,94264,19.597089026563673
2024-11-22,18492,94213,19.627864519758397
2024-11-23,18483,94128,19.63602753697091
2024-11-24,18464,94058,19.630440791851814
2024-11-25,18531,94545,19.600190385530677
2024-11-26,18531,94487,19.612221787124135
2024-11-27,18521,94438,19.611808805777315
2024-11-28,18502,94376,19.60456048147832
2024-11-29,18507,94487,19.586821467503444
2024-11-30,18504,94435,19.594430031238396
2024-12-01,18452,94052,19.61893420660909
2024-12-02,18431,93886,19.631254926187058
2024-12-03,18448,93885,19.64957128401766
2024-12-04,18450,93817,19.665945404351003
2024-12-05,18457,93841,19.66837523044296
2024-12-06,18385,93157,19.73550028446599
2024-12-07,18364,92969,19.75282083275068
2024-12-08,18352,92953,19.743311135735244
2024-12-09,18351,92915,19.75030942259052
2024-12-10,18360,93022,19.737266453097096
2024-12-11,18351,92995,19.733318995644904
2024-12-12,18365,93032,19.74051939117721
2024-12-13,18366,93019,19.744353304163642
2024-12-14,18354,93007,19.733998516240693
2024-12-15,18350,92957,19.740310035822993
2024-12-16,18372,93113,19.730864648330503
2024-12-17,18476,94015,19.65218316226132
2024-12-18,18517,94061,19.686161108216986
2024-12-19,18510,94100,19.67056323060572
2024-12-20,18529,94162,19.67778934177267
